,star,Name,Ticker,Price $,Market Return YTD %,Market Return 1Y %,Market Return 3Y %,"Premium 
		Fair Value Uncertainty Rating","Premium 
		Fair Value $","Premium 
		Morningstar Rating for Stocks"
0,4,Adobe Inc,ADBE,450.54,−9.91,57.51,25.94,Medium,500.00,
1,4,Adtalem Global Education Inc,ATGE,40.44,19.12,68.57,−6.14,High,45.67,
2,4,Air Products & Chemicals Inc,APD,274.51,0.47,55.18,19.44,Medium,297.00,
3,4,Alphabet Inc A,GOOGL,"2,083.89",18.90,94.21,22.47,High,"2,605.00",
4,4,Altria Group Inc,MO,49.44,20.59,38.25,−2.58,Medium,54.00,
5,4,Amazon.com Inc,AMZN,"3,091.86",−5.07,83.04,25.30,High,"4,000.00",
6,4,American Electric Power Co Inc,AEP,83.50,1.16,5.78,10.58,Low,89.00,
7,4,American International Group Inc,AIG,47.33,25.86,109.08,−1.96,High,59.00,
8,4,AmerisourceBergen Corp,ABC,112.86,15.90,42.34,6.82,Medium,135.00,
9,4,Anthem Inc,ANTM,343.57,7.35,55.13,15.77,Medium,370.00,
10,4,AT&T Inc,T,29.99,6.08,0.82,−0.79,High,36.00,
11,4,Atmos Energy Corp,ATO,93.80,−1.05,2.69,6.62,Low,108.00,
12,4,"Becton, Dickinson and Co",BDX,239.55,−3.93,8.81,3.70,Medium,296.00,
13,4,Biogen Inc,BIIB,259.92,6.15,−7.74,−3.32,High,350.00,
14,4,Biomarin Pharmaceutical Inc,BMRN,77.21,−11.95,4.59,−2.81,Medium,101.00,
15,4,BorgWarner Inc,BWA,48.77,26.66,114.53,−0.41,High,66.00,
16,4,Cabot Oil & Gas Corp,COG,18.85,16.40,12.51,−7.33,High,23.00,
17,4,Centene Corp,CNC,62.97,4.90,16.55,6.04,High,85.00,
18,4,CenterPoint Energy Inc,CNP,22.44,4.44,84.70,−2.30,Medium,25.00,
19,4,Cerner Corp,CERN,72.20,−8.00,20.54,6.26,Medium,86.00,
20,4,Change Healthcare Inc Ordinary Shares,CHNG,22.99,23.27,157.45,—,Medium,25.75,
21,4,Cheniere Energy Inc,LNG,74.95,24.85,112.50,11.33,High,89.00,
22,4,Cigna Corp,CI,241.69,16.58,61.05,12.91,Medium,274.00,
23,4,Citrix Systems Inc,CTXS,136.17,4.95,24.25,13.66,Medium,154.00,
24,4,Coca-Cola Co,KO,51.22,−5.84,16.81,8.85,Low,55.00,
25,4,Compass Minerals International Inc,CMP,67.26,10.14,73.10,6.95,High,80.00,
26,4,Consolidated Edison Inc,ED,72.08,0.81,−5.53,1.51,Low,79.00,
27,4,CVS Health Corp,CVS,75.07,10.64,47.36,7.29,Medium,92.00,
28,4,Dominion Energy Inc,D,74.29,−0.37,12.79,6.19,Low,81.00,
29,4,Duke Energy Corp,DUK,93.02,2.65,26.48,10.36,Low,95.00,
30,4,DuPont de Nemours Inc,DD,76.69,8.27,127.42,−9.12,Medium,90.00,
31,4,Edison International,EIX,59.56,−5.19,34.64,0.96,Medium,70.00,
32,4,Entergy Corp,ETR,98.91,0.02,18.37,11.71,Low,107.00,
33,4,Enterprise Products Partners LP,EPD,23.29,21.18,83.97,3.99,Medium,25.50,
34,4,EOG Resources Inc,EOG,70.65,42.42,131.99,−9.67,High,94.00,
35,4,Equifax Inc,EFX,172.57,−10.31,35.06,12.81,Medium,190.00,
36,4,Equitrans Midstream Corp,ETRN,8.12,2.86,70.98,—,Very High,15.00,
37,4,Exxon Mobil Corp,XOM,59.11,45.51,81.47,−2.63,Medium,74.00,
38,4,Facebook Inc A,FB,279.28,2.24,91.27,14.70,High,335.00,
39,4,FirstEnergy Corp,FE,35.56,17.45,8.22,5.78,Low,42.00,
40,4,Gilead Sciences Inc,GILD,64.01,11.09,−3.11,−3.49,Medium,81.00,
41,4,Guidewire Software Inc,GWRE,105.16,−18.31,35.24,7.38,Medium,116.00,
42,4,Hanesbrands Inc,HBI,20.44,41.22,151.07,4.13,Medium,24.00,
43,4,Hostess Brands Inc Class A,TWNK,15.12,3.28,41.04,1.69,Medium,17.60,
44,4,Incyte Corp,INCY,80.28,−7.70,12.12,−3.75,High,120.00,
45,4,Ingredion Inc,INGR,92.03,16.98,48.21,−8.94,Medium,120.00,
46,4,Ionis Pharmaceuticals Inc,IONS,54.30,−3.96,25.55,1.66,High,66.00,
47,4,Kellogg Co,K,60.36,−2.09,0.13,0.34,Medium,82.00,
48,4,Kinder Morgan Inc Class P,KMI,15.92,18.38,33.31,4.58,Medium,21.00,
49,4,Lockheed Martin Corp,LMT,347.13,−1.48,24.03,4.18,Medium,433.00,
50,4,Lumen Technologies Inc Ordinary Shares,LUMN,14.03,46.46,53.68,1.48,High,18.00,
51,4,Magellan Midstream Partners LP,MMP,45.66,10.01,49.15,−2.62,Medium,52.00,
52,4,Merck & Co Inc,MRK,76.81,−5.31,13.46,14.57,Medium,100.00,
53,4,Microsoft Corp,MSFT,237.71,7.13,77.12,37.06,Medium,263.00,
54,4,Molson Coors Beverage Co Shs -B- Non-Voting,TAP,48.41,7.13,15.68,−13.35,Medium,60.00,
55,4,Northrop Grumman Corp,NOC,305.84,0.84,10.28,−1.69,Medium,331.00,
56,4,NOV Inc,NOV,15.18,10.56,71.33,−24.97,Very High,28.00,
57,4,Pegasystems Inc,PEGA,121.76,−8.63,93.43,25.90,High,157.00,
58,4,PepsiCo Inc,PEP,134.01,−8.95,22.12,9.26,Low,145.00,
59,4,Pfizer Inc,PFE,35.83,−1.60,28.06,4.10,Low,40.00,
60,4,Philip Morris International Inc,PM,88.20,6.53,33.53,−0.46,Low,108.00,
61,4,Phillips 66 Partners LP,PSXP,30.27,17.93,−1.34,−7.01,Medium,39.00,
62,4,Pilgrims Pride Corp,PPC,24.72,26.06,52.88,−0.94,High,32.50,
63,4,Pinnacle West Capital Corp,PNW,79.58,0.58,21.58,4.40,Low,88.00,
64,4,Plains All American Pipeline LP,PAA,9.50,17.48,88.21,−16.34,High,13.00,
65,4,Plains GP Holdings LP Class A,PAGP,9.62,15.98,77.66,−16.93,High,13.00,
66,4,PRA Health Sciences Inc,PRAH,146.01,16.40,111.73,17.17,Medium,166.00,
67,4,Prestige Consumer Healthcare Inc,PBH,46.88,34.44,54.82,8.32,High,51.47,
68,4,Roper Technologies Inc,ROP,387.98,−9.87,37.71,11.15,Medium,452.00,
69,4,Salesforce.com Inc,CRM,214.48,−3.62,72.55,19.41,Medium,265.00,
70,4,ServiceNow Inc,NOW,498.99,−9.35,87.99,43.19,Medium,573.00,
71,4,Simon Property Group Inc,SPG,117.19,37.42,84.06,−4.36,High,151.00,
72,4,Splunk Inc,SPLK,139.03,−18.16,45.26,9.18,High,212.00,
73,4,Telephone and Data Systems Inc,TDS,23.06,25.12,45.41,−4.46,Very High,30.49,
74,4,The Kraft Heinz Co,KHC,38.74,12.93,83.20,−12.22,High,49.50,
75,4,Tyler Technologies Inc,TYL,424.72,−2.70,60.37,26.73,Medium,475.00,
76,4,Veeva Systems Inc Class A,VEEV,261.07,−4.11,115.89,50.63,Medium,290.00,
77,4,Vertex Pharmaceuticals Inc,VRTX,218.99,−7.34,9.62,7.63,Medium,259.00,
78,4,Viatris Inc,VTRS,14.53,−22.47,−3.39,−29.65,Very High,25.00,
79,4,VMware Inc,VMW,147.85,5.41,54.11,11.95,High,202.00,
80,4,Vontier Corp Ordinary Shares,VNT,30.83,−7.69,—,—,Medium,40.00,
81,4,WEC Energy Group Inc,WEC,88.89,−2.68,−1.31,15.46,Low,91.00,
82,4,Wells Fargo & Co,WFC,39.35,30.72,51.55,−7.78,High,52.00,
83,4,WESCO International Inc,WCC,89.37,13.85,305.12,10.94,High,107.00,
84,4,Williams Companies Inc,WMB,23.22,17.86,84.06,0.68,Medium,27.00,
85,4,Yum China Holdings Inc Ordinary Shares,YUMC,62.15,9.07,50.85,15.09,Medium,74.00,
